Id,y
50100,0.0
50101,0.0
50102,0.0
50103,0.0
50104,0.0
50105,0.0
50106,0.0
50107,0.0
50108,0.0
50109,0.0
50110,0.0
50111,0.0
50112,0.0
50113,0.0
50114,0.0
50115,0.0
50116,0.0
50117,0.0
50118,0.0
50119,0.0
50120,0.0
50121,0.0
50122,0.0
50123,0.0
50124,0.0
50125,0.0
50126,0.0
50127,0.0
50128,0.0
50129,0.0
50130,0.0
50131,0.0
50132,0.0
50133,0.0
50134,0.0
50135,0.0
50136,0.0
50137,0.0
50138,0.0
50139,0.0
50140,0.0
50141,0.0
50142,0.0
50143,0.0
50144,0.0
50145,0.0
50146,0.0
50147,0.0
50148,0.0
50149,0.0
50150,0.0
50151,0.0
50152,0.0
50153,0.0
50154,0.0
50155,0.0
50156,0.0
50157,0.0
50158,0.0
50159,0.0
50160,0.0
50161,0.0
50162,0.0
50163,0.0
50164,0.0
50165,0.0
50166,0.0
50167,0.0
50168,0.0
50169,0.0
50170,0.0
50171,0.0
50172,0.0
50173,0.0
50174,0.0
50175,0.0
50176,0.0
50177,0.0
50178,0.0
50179,0.0
50180,0.0
50181,0.0
50182,0.0
50183,0.0
50184,0.0
50185,0.0
50186,0.0
50187,0.0
50188,0.0
50189,0.0
50190,0.0
50191,0.0
50192,0.0
50193,0.0
50194,0.0
50195,0.0
50196,0.0
50197,0.0
50198,0.0
50199,0.0
50200,0.0
50201,0.0
50202,0.0
50203,0.0
50204,0.0
50205,0.0
50206,0.0
50207,0.0
50208,0.0
50209,0.0
50210,0.0
50211,0.0
50212,0.0
50213,0.0
50214,0.0
50215,0.0
50216,0.0
50217,0.0
50218,0.0
50219,0.0
50220,0.0
50221,0.0
50222,0.0
50223,0.0
50224,0.0
50225,0.0
50226,0.0
50227,0.0
50228,0.0
50229,0.0
50230,0.0
50231,0.0
50232,0.0
50233,0.0
50234,0.0
50235,0.0
50236,0.0
50237,0.0
50238,0.0
50239,0.0
50240,0.0
50241,0.0
50242,0.0
50243,0.0
50244,0.0
50245,0.0
50246,0.0
50247,0.0
50248,0.0
50249,0.0
50250,0.0
50251,0.0
50252,0.0
50253,0.0
50254,0.0
50255,0.0
50256,0.0
50257,0.0
50258,0.0
50259,0.0
50260,0.0
50261,0.0
50262,0.0
50263,0.0
50264,0.0
50265,0.0
50266,0.0
50267,0.0
50268,0.0
50269,0.0
50270,0.0
50271,0.0
50272,0.0
50273,0.0
50274,0.0
50275,0.0
50276,0.0
50277,0.0
50278,0.0
50279,0.0
50280,0.0
50281,0.0
50282,0.0
50283,0.0
50284,0.0
50285,0.0
50286,0.0
50287,0.0
50288,0.0
50289,0.0
50290,0.0
50291,0.0
50292,0.0
50293,0.0
50294,0.0
50295,0.0
50296,0.0
50297,0.0
50298,0.0
50299,0.0
50300,0.0
50301,0.0
50302,0.0
50303,0.0
50304,0.0
50305,0.0
50306,0.0
50307,0.0
50308,0.0
50309,0.0
50310,0.0
50311,0.0
50312,0.0
50313,0.0
50314,0.0
50315,0.0
50316,0.0
50317,0.0
50318,0.0
50319,0.0
50320,0.0
50321,0.0
50322,0.0
50323,0.0
50324,0.0
50325,0.0
50326,0.0
50327,0.0
50328,0.0
50329,0.0
50330,0.0
50331,0.0
50332,0.0
50333,0.0
50334,0.0
50335,0.0
50336,0.0
50337,0.0
50338,0.0
50339,0.0
50340,0.0
50341,0.0
50342,0.0
50343,0.0
50344,0.0
50345,0.0
50346,0.0
50347,0.0
50348,0.0
50349,0.0
50350,0.0
50351,0.0
50352,0.0
50353,0.0
50354,0.0
50355,0.0
50356,0.0
50357,0.0
50358,0.0
50359,0.0
50360,0.0
50361,0.0
50362,0.0
50363,0.0
50364,0.0
50365,0.0
50366,0.0
50367,0.0
50368,0.0
50369,0.0
50370,0.0
50371,0.0
50372,0.0
50373,0.0
50374,0.0
50375,0.0
50376,0.0
50377,0.0
50378,0.0
50379,0.0
50380,0.0
50381,0.0
50382,0.0
50383,0.0
50384,0.0
50385,0.0
50386,0.0
50387,0.0
50388,0.0
50389,0.0
50390,0.0
50391,0.0
50392,0.0
50393,0.0
50394,0.0
50395,0.0
50396,0.0
50397,0.0
50398,0.0
50399,0.0
50400,0.0
50401,0.0
50402,0.0
50403,0.0
