Id,lumo_energy
0,-3.11152146460406
1,-3.21911796297146
2,-3.11414521289978
3,-3.1618674639281
4,-3.68774430158877
5,-2.79126134339876
6,-3.68823510731253
7,-3.24336825202051
8,-3.50806902217689
9,-3.44062920416696
10,-3.10436477045323
11,-2.68637012092269
12,-3.79683642447906
13,-2.9076257909659
14,-3.465561337617
15,-3.28059896211957
16,-3.12782663576045
17,-2.7876660891809
18,-3.59903273987462
19,-4.01783538388848
20,-3.57769753816985
21,-3.29580895360806
22,-2.83647642081658
23,-3.55027455913086
24,-4.06550148093864
25,-3.28948357972914
26,-3.10177986834753
27,-2.92505201719805
28,-3.59474626662662
29,-3.5662995818328
30,-2.72226225954575
31,-3.07005743898244
32,-3.15272716725411
33,-3.30396789556387
34,-3.14999169980597
35,-3.05048270621953
36,-2.93168830456788
37,-3.11138452248279
38,-3.08224721978642
39,-3.21644743898605
40,-3.85008081433416
41,-3.38741491800887
42,-3.21780606895509
43,-3.29105009656508
44,-3.5252531819565
45,-3.38799668085755
46,-3.19350726542378
47,-3.0864742783115
48,-2.89521586905584
49,-3.46662869025248
50,-3.61321945013331
51,-2.96629169172206
52,-3.58603437706613
53,-3.2326585777222
54,-2.9385938349121
55,-2.94851948666604
56,-3.74682267449438
57,-3.37778828753735
58,-3.55372350992701
59,-3.01098709903291
60,-2.92181144687424
61,-3.32309754235253
62,-3.05718424178053
63,-3.0403379776607
64,-3.15413218124031
65,-3.67852291628981
66,-2.75487194283527
67,-3.81846729993428
68,-4.1817031390575
69,-3.67810359732143
70,-3.64919456160386
71,-3.85076599928995
72,-3.10219495150859
73,-2.97626865270067
74,-2.9397144212351
75,-3.07031985610423
76,-3.22381122280289
77,-3.86772404037728
78,-2.8685977847758
79,-3.99426895718874
80,-3.13535762582953
81,-3.58286738148086
82,-2.94547716043434
83,-2.85709273302347
84,-2.65905664253887
85,-2.98002109457067
86,-3.33761529189215
87,-2.58475316353912
88,-3.31511679912945
89,-3.00696254194837
90,-3.69569568516788
91,-3.12353468386729
92,-3.32689093471
93,-3.16678574016613
94,-3.45983020760203
95,-2.78012983181099
96,-3.32812350330525
97,-3.67644009530106
98,-2.97333924464208
99,-3.24137437068341
100,-2.60528877714098
101,-3.60419828162294
102,-3.45161570339157
103,-2.83985770447293
104,-3.20564194091669
105,-3.06650882400325
106,-3.14749009206734
107,-2.68522874757634
108,-3.44212344533565
109,-2.74768995199412
110,-3.49174123808052
111,-3.83420929844659
112,-3.54262031610292
113,-2.77613167578583
114,-3.75849388112264
115,-3.35605624532087
116,-3.89870882884429
117,-2.94115952734221
118,-2.63658384112242
119,-3.83202825804729
120,-2.59323202396839
121,-2.73173571487678
122,-3.40119362183383
123,-3.16139047707897
124,-2.93267308098548
125,-3.8684297513739
126,-3.57987789657604
127,-3.55342553731479
128,-2.99449641172632
129,-3.59438626231259
130,-3.18456489033739
131,-2.58096435133292
132,-4.05810517838078
133,-3.26088446450139
134,-3.75941668730064
135,-2.83827898691106
136,-3.53769658354731
137,-2.99143862426498
138,-2.88792491319333
139,-3.03109824604999
140,-2.75742810093797
141,-2.85210766476938
142,-3.5741594423941
143,-3.31005685947536
144,-2.98351443430387
145,-3.56487832140624
146,-3.9816370423176
147,-3.64981294017242
148,-2.89389414834434
149,-2.79026155076685
150,-2.76496086286667
151,-2.71131269993749
152,-3.6178832662487
153,-3.22918848824073
154,-3.15178349723256
155,-3.89121423440855
156,-2.72710941596277
157,-3.00873496227748
158,-2.6830841040035
159,-3.29380743990414
160,-2.66032201809711
161,-2.92247248859035
162,-3.55857686859486
163,-2.9857147378279
164,-2.86761739716345
165,-3.41814216108961
166,-3.01992622093801
167,-3.17535427781578
168,-2.27936518767148
169,-2.9057504143015
170,-3.97131675499618
171,-3.02771097799235
172,-2.96497745423272
173,-3.98652112570369
174,-2.42275056452609
175,-3.82078462397461
176,-3.82154014127474
177,-3.80967657414106
178,-4.03410004416869
179,-3.02388620914017
180,-3.68739264607929
181,-3.0076278756199
182,-3.95798988717607
183,-2.78326218872227
184,-3.69273944695736
185,-3.1852470768044
186,-3.16830246502405
187,-3.37336565978108
188,-2.76695630917339
189,-3.76513262644924
190,-3.00394338572709
191,-3.0360914224437
192,-3.96465523415218
193,-3.03334451042768
194,-3.08161429559618
195,-3.11243661566743
196,-3.46000320770107
197,-3.49024937495415
198,-3.18898813350583
199,-3.53007760612326
200,-3.52918757940674
201,-3.65385175745384
202,-3.48049982490524
203,-3.021958110809
204,-3.72114032446933
205,-3.8847277228413
206,-2.99280256908816
207,-3.12628213218191
208,-3.54814208058607
209,-3.4023179622224
210,-2.82276679807343
211,-3.06409711506452
212,-3.0587919832395
213,-3.08440926348365
214,-3.56444187821772
215,-3.48214830818358
216,-4.04731756373499
217,-2.40870855275656
218,-3.45159183775693
219,-3.15354334099987
220,-3.55285029974673
221,-3.31433256860364
222,-3.23019956688613
223,-3.91029731693465
224,-3.9711309054251
225,-3.52429096808588
226,-3.70402961932611
227,-2.92068519556308
228,-3.82468167624744
229,-3.25188568073131
230,-3.48310354496206
